Date,Pee,Poo
01.02.2024,01:18,07:51
,04:41,14:39
,07:43,
,11:37,
,11:46,
,14:34,
,16:44,
,17:46,
,18:16,
,21:18,
,21:21,
,22:36,
02.02.2024,05:09,05:15
,07:51,08:00
,12:52,13:02
,13:39,17:37
,16:55,
,17:21,
,19:41,
,21:23,
03.02.2024,00:46,05:11
,05:05,12:44
,09:43,19:13
,10:12,
,10:50,
,12:12,
,12:46,
,15:42,
,18:56,
,21:17,
,23:01,
04.02.2024,06:50,09:51
,09:42,12:34
,11:49,18:21
,12:20,22:22
,14:31,
,15:24,
,15:40,
,17:15,
,18:18,
,20:50,
,22:19,
05.02.2024,03:07,06:39
,06:37,12:14
,09:59,17:47
,12:07,
,15:41,
,17:44,
,20:16,
,21:13,
,23:17,
06.02.2024,04:52,04:54
,08:15,11:53
,11:49,23:11
,14:20,
,16:10,
,16:20,
,17:19,
,17:43,
,18:20,
,20:17,
,20:49,
,23:05,
07.02.2024,02:31,07:04
,06:35,15:21
,09:56,
,13:42,
,15:18,
,17:19,
,19:32,
,20:32,
,20:53,
,22:32,
08.02.2024,05:04,05:08
,07:21,17:29
,10:47,
,14:01,
,17:22,
,18:31,
,20:59,
,21:32,
,23:13,
09.02.2024,02:40,02:49
,06:20,11:00
,06:36,20:50
,10:54,23:50
,15:00,
,17:45,
,18:00,
,20:34,
,22:51,
,23:46,
10.02.2024,04:10,08:07
,07:17,16:07
,07:59,19:45
,11:06,
,11:43,
,13:01,
,16:02,
,18:12,
,18:15,
,19:41,
,21:05,
,22:26,
11.02.2024,02:16,07:25
,02:18,13:38
,07:03,20:45
,09:30,
,10:20,
,11:17,
,12:08,
,12:50,
,13:36,
,17:40,
,17:57,
,20:38,
,21:59,
12.02.2024,00:59,06:55
,06:39,12:24
,08:35,20:10
,12:10,
,14:26,
,17:10,
,17:12,
,17:27,
,20:05,
,20:59,
,22:10,
13.02.2024,02:25,06:26
,06:25,11:56
,06:44,20:55
,08:32,
,11:51,
,15:13,
,17:35,
,19:15,
,20:51,
,22:25,
14.02.2024,03:35,07:01
,06:56,13:20
,08:39,20:02
,13:06,
,15:20,
,17:10,
,19:57,
,21:48,
,23:15,
15.02.2024,00:13,06:58
,04:06,16:20
,06:53,
,07:15,
,12:17,
,16:01,
,16:05,
,18:18,
,19:27,
,21:30,
,23:22,
16.02.2024,00:37,07:05
,07:02,15:48
,10:30,20:41
,12:41,
,15:46,
,16:28,
,17:26,
,19:15,
,20:34,
,23:20,
,,
17.02.2024,06:02,08:04
,08:02,16:30
,10:02,23:31
,11:49,
,11:59,
,12:20,
,13:19,
,16:10,
,16:28,
,17:30,
,20:41,
,21:03,
,23:28,
18.02.2024,06:37,10:19
,10:18,20:39
,11:08,
,14:22,
,16:20,
,17:43,
,18:16,
,20:36,
,22:53,
19.02.2024,03:49,08:44
,06:28,19:36
,06:43,
,08:33,
,10:56,
,12:00,
,12:14,
,17:45,
,19:32,
,19:48,
,21:44,
,22:25,
,23:11,
20.02.2024,03:55,04:16
,06:27,12:38
,08:20,18:50
,12:28,
,17:14,
,19:31,
,23:24,
21.02.2024,03:12,07:44
,05:46,18:09
,07:39,
,11:04,
,15:56,
,18:07,
,18:37,
,20:38,
,23:16,
22.02.2024,02:34,06:20
,06:12,17:42
,08:22,22:19
,13:05,
,15:50,
,16:28,
,17:36,
,19:17,
,22:14,
23.02.2024,03:21,08:00
,06:17,19:13
,08:02,
,11:44,
,13:33,
,16:15,
,16:45,
,19:09,
,21:23,
,21:47,
,22:44,
24.02.2024,04:11,06:30
,06:28,11:06
,09:16,12:30
,11:04,
,11:30,
,12:28,
,12:50,
,15:49,
,17:19,
,18:18,
,20:17,
,20:20,
,21:56,
,23:12,
25.02.2024,05:11,05:12
,07:26,10:12
,10:00,15:30
,10:44,
,12:05,
,13:34,
,15:24,
,15:58,
,17:30,
,19:05,
,20:56,
,22:56,
26.02.2024,05:35,05:41
,07:59,12:20
,09:28,21:35
,11:16,
,12:19,
,17:21,
,18:49,
,19:22,
,21:23,
,22:39,
27.02.2024,03:30,03:35
,06:08,11:00
,07:48,20:22
,10:53,
,14:25,
,16:25,
,18:13,
,18:22,
,20:01,
,20:38,
,22:53,
28.02.2024,01:51,06:18
,06:17,12:50
,09:46,19:39
,12:49,
,14:21,
,16:42,
,19:37,
,19:51,
,21:21,
,22:56,
29.02.2024,05:42,07:07
,05:44,
,07:05,
,07:56,
,22:02,
30.01.2024,02:42,07:02
,22:41,
31.01.2024,02:58,02:59
,06:46,08:00
,21:51,
